"filename", "language", "Dart", "XML", "JSON", "comment", "blank", "total"
"/Users/xusun/Desktop/Flutter/offershow/lib/img/home/9.svg", "XML", 0, 11, 0, 0, 1, 12
"/Users/xusun/Desktop/Flutter/offershow/lib/img/like_blue.svg", "XML", 0, 4, 0, 0, 1, 5
"/Users/xusun/Desktop/Flutter/offershow/lib/img/like_grey.svg", "XML", 0, 4, 0, 0, 1, 5
"/Users/xusun/Desktop/Flutter/offershow/lib/img/loading.svg", "XML", 0, 5, 0, 0, 0, 5
"/Users/xusun/Desktop/Flutter/offershow/lib/img/login.svg", "XML", 0, 120, 0, 0, 1, 121
"/Users/xusun/Desktop/Flutter/offershow/lib/img/logo.svg", "XML", 0, 24, 0, 0, 0, 24
"/Users/xusun/Desktop/Flutter/offershow/lib/img/me/btn1.svg", "XML", 0, 4, 0, 0, 1, 5
"/Users/xusun/Desktop/Flutter/offershow/lib/img/me/btn2.svg", "XML", 0, 4, 0, 0, 1, 5
"/Users/xusun/Desktop/Flutter/offershow/lib/img/me/btn3.svg", "XML", 0, 5, 0, 0, 1, 6
"/Users/xusun/Desktop/Flutter/offershow/lib/img/me/btn4.svg", "XML", 0, 4, 0, 0, 1, 5
"/Users/xusun/Desktop/Flutter/offershow/lib/img/me/btn5.svg", "XML", 0, 5, 0, 0, 1, 6
"/Users/xusun/Desktop/Flutter/offershow/lib/img/me_arrow_right.svg", "XML", 0, 3, 0, 0, 1, 4
"/Users/xusun/Desktop/Flutter/offershow/lib/img/me_dark/btn1.svg", "XML", 0, 4, 0, 0, 1, 5
"/Users/xusun/Desktop/Flutter/offershow/lib/img/me_dark/btn2.svg", "XML", 0, 4, 0, 0, 1, 5
"/Users/xusun/Desktop/Flutter/offershow/lib/img/me_dark/btn3.svg", "XML", 0, 5, 0, 0, 1, 6
"/Users/xusun/Desktop/Flutter/offershow/lib/img/me_dark/btn4.svg", "XML", 0, 4, 0, 0, 1, 5
"/Users/xusun/Desktop/Flutter/offershow/lib/img/me_dark/btn5.svg", "XML", 0, 5, 0, 0, 1, 6
"/Users/xusun/Desktop/Flutter/offershow/lib/img/more.svg", "XML", 0, 6, 0, 0, 1, 7
"/Users/xusun/Desktop/Flutter/offershow/lib/img/msg/@.svg", "XML", 0, 24, 0, 0, 1, 25
"/Users/xusun/Desktop/Flutter/offershow/lib/img/msg/noti.svg", "XML", 0, 13, 0, 0, 1, 14
"/Users/xusun/Desktop/Flutter/offershow/lib/img/msg/reply.svg", "XML", 0, 22, 0, 0, 1, 23
"/Users/xusun/Desktop/Flutter/offershow/lib/img/msg_card_right.svg", "XML", 0, 3, 0, 0, 1, 4
"/Users/xusun/Desktop/Flutter/offershow/lib/img/msg_send.svg", "XML", 0, 3, 0, 0, 1, 4
"/Users/xusun/Desktop/Flutter/offershow/lib/img/person/1.svg", "XML", 0, 83, 0, 0, 0, 83
"/Users/xusun/Desktop/Flutter/offershow/lib/img/person/2.svg", "XML", 0, 165, 0, 0, 0, 165
"/Users/xusun/Desktop/Flutter/offershow/lib/img/qrcode_dark.svg", "XML", 0, 1, 0, 0, 0, 1
"/Users/xusun/Desktop/Flutter/offershow/lib/img/qrcode_light.svg", "XML", 0, 1, 0, 0, 0, 1
